,StateDesc,InactivityPercentage,ObesityPercentage
0,Alabama,32.97183266917489,36.79449525475823
1,Alaska,20.90877192982456,34.26315789473684
2,Arizona,23.94027195531271,28.77280414479212
3,Arkansas,32.293478830553276,32.57782882143833
4,California,21.091232087961387,24.87484676079752
5,Colorado,19.52506365856518,23.48143781941594
6,Connecticut,28.040579019321825,29.95441746966683
7,Delaware,38.05384615384615,39.573076923076925
9,Florida,30.791165435751115,29.362178503129346
10,Georgia,32.02826725829782,33.219409359208825
11,Hawaii,23.425847457627118,23.69237288135593
12,Idaho,23.192180851063828,30.60107269503546
13,Illinois,25.370090761732506,32.103591136983226
14,Indiana,31.201553652631148,35.429806460086304
15,Iowa,26.745426349965822,35.746252278423334
16,Kansas,28.32671425726802,32.7259743130227
17,Kentucky,31.364010989010993,32.58264652014652
18,Louisiana,33.312980595002216,36.989210933529755
19,Maine,20.518181818181816,23.66818181818182
20,Maryland,32.02636815920398,39.56218905472637
21,Massachusetts,28.221247931912306,28.57510265542707
22,Michigan,27.10061195975847,32.39154054954606
23,Minnesota,24.16734742462305,26.72867521433995
24,Mississippi,34.68590909090909,38.13431818181818
25,Missouri,28.539229375696767,32.322668385358604
26,Montana,24.3977969348659,24.584003831417625
27,Nebraska,23.586235238545108,32.01950401511573
28,Nevada,26.753456560451344,26.421172753792423
29,New Hampshire,27.041290322580647,30.63540322580645
30,New Jersey,39.0882967315793,33.975833343533004
31,New Mexico,21.86410138555822,25.350095923261392
32,New York,30.415888344774537,31.101660697826446
33,North Carolin,25.64505034296918,31.700806517455824
34,North Dakota,25.25185185185185,30.174074074074074
35,Ohio,36.49393067142613,39.69693117210893
36,Oklahoma,30.903278390824266,34.301714168858666
37,Oregon,20.751167913497856,27.5946783743891
38,Pennsylvania,30.516477516940125,36.082457852739246
39,Rhode Island,29.046606574761398,31.9218884299827
40,South Carolin,25.599379738015607,32.39041297380156
41,South Dakota,23.33205128205128,32.71153846153846
42,Tennessee,30.39314948764316,33.83604360399719
43,Texas,31.455570313967172,34.007605027004786
44,Utah,22.660805159860715,27.029671708949486
45,Vermont,18.592307692307692,24.307692307692307
46,Virginia,28.20452646441461,34.65722269430483
47,Washington,20.144891583299444,27.83680107029667
48,West Virginia,29.90833333333333,39.2875
49,Wisconsin,23.62720732765434,33.23168976877199
50,Wyoming,25.977777777777778,29.20555555555556
